Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
1203,VMS 1,11/2/2020 12:03:17 AM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
1343,VMS 1,11/2/2020 12:02:26 AM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
1208,VMS 1,11/1/2020 11:59:07 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
1208,VMS 1,11/1/2020 11:58:54 PM,Grovfoder,03:30,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1343,VMS 1,11/1/2020 11:56:08 PM,Mjolkfalla,00:45,VMS 1,Milking 9.10 kg,,05:54,
5194,VMS 1,11/1/2020 11:56:00 PM,VMS 1,00:07,VMS 1,Pass through to Foderbord,,,
602,VMS 1,11/1/2020 11:55:15 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
602,VMS 1,11/1/2020 11:54:57 PM,Grovfoder,00:07,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1203,VMS 1,11/1/2020 11:54:28 PM,Mjolkfalla,00:19,VMS2,Milking 17.25 kg,,08:41,
1251,VMS 1,11/1/2020 11:54:16 PM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
1267,VMS 1,11/1/2020 11:53:04 PM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1267,VMS 1,11/1/2020 11:51:57 PM,Grovfoder,02:23,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1274,VMS 1,11/1/2020 11:49:29 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1274,VMS 1,11/1/2020 11:49:17 PM,Grovfoder,02:10,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
5194,VMS 1,11/1/2020 11:48:18 PM,Mjolkfalla,00:23,VMS 1,Milking 9.66 kg,,09:11,
602,VMS 1,11/1/2020 11:47:53 PM,VMS 1,00:09,VMS 1,Pass through to Foderbord,,,
1402,VMS 1,11/1/2020 11:47:36 PM,Grovfoder,00:16,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1327,VMS 1,11/1/2020 11:47:33 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1327,VMS 1,11/1/2020 11:47:15 PM,Grovfoder,00:10,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1251,VMS 1,11/1/2020 11:45:18 PM,Mjolkfalla,00:05,VMS2,Milking 0.00 kg,,00:07,
5189,VMS 1,11/1/2020 11:45:17 PM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
1211,VMS 1,11/1/2020 11:41:56 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1211,VMS 1,11/1/2020 11:41:37 PM,Grovfoder,00:29,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1351,VMS 1,11/1/2020 11:40:19 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1351,VMS 1,11/1/2020 11:40:05 PM,Grovfoder,00:29,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1251,VMS 1,11/1/2020 11:39:51 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1251,VMS 1,11/1/2020 11:39:42 PM,Grovfoder,00:01,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1348,VMS 1,11/1/2020 11:39:11 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1344,VMS 1,11/1/2020 11:38:58 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1348,VMS 1,11/1/2020 11:38:58 PM,Grovfoder,02:00,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
602,VMS 1,11/1/2020 11:38:48 PM,Mjolkfalla,00:15,VMS 1,Milking 10.38 kg,,04:44,
1344,VMS 1,11/1/2020 11:38:45 PM,Grovfoder,00:25,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
