Animal Number,Official Reg. No. (ORN),"Dam, Official Reg. Number (ORN)",Sire Bull ID/ORN,Breed,Birth Date
602,-0602,,,01 SRB,10/5/2012
1039,-1039,-0966,,02 SLB,9/23/2010
1138,-1138,-1021,3-8885,02 SLB,9/14/2013
1139,-1139,-1020,3-9497,01 SRB,9/16/2013
1162,-1162,-1049,3-9071 Apollo,02 SLB,7/6/2014
1163,-1163,-1099,9-2532,02 SLB,7/18/2014
1167,-1167,-0998,22-5813,01 SRB,8/1/2014
1170,-1170,-0702,22-6303 Borse,01 SRB,8/3/2014
1173,-1173,-1018,22-6282 Niki,01 SRB,9/8/2014
1178,-1178,-1029,9-3306,02 SLB,1/10/2015
1180,-1180,-1109,9-3372 Goblin,02 SLB,1/31/2015
1184,-1184,-1076,3-2236,01 SRB,3/4/2015
1187,-1187,-1125,3-9623 Bilbo,01 SRB,4/30/2015
1193,-1193,-1073,9-3461 Oybeck,02 SLB,7/29/2015
1195,-1195,-1169,3-5034 Gizmo,02 SLB,8/19/2015
1197,-1197,-1132,3-5020 Mace,02 SLB,9/2/2015
1198,-1198,-1024,3-9633 Sparta,01 SRB,9/6/2015
1199,-1199,-1189,3-2263,02 SLB,9/6/2015
1200,-1200,-1138,9-3456 Laredo,02 SLB,9/15/2015
1201,-1201,-1022,22-6807 Vimpula,01 SRB,10/3/2015
1203,-1203,-1025,9-6054 Rankin,01 SRB,10/19/2015
1208,-1208,-1039,3-8982 Sprite,02 SLB,11/28/2015
1209,-1209,-1039,3-8982 Sprite,02 SLB,11/28/2015
1210,-1210,-0772,3-5043 Bubba,02 SLB,12/4/2015
1211,-1211,-1020,9-9635 Pirate,01 SRB,12/11/2015
1212,-1212,-1046,9-3444 Reynold,02 SLB,12/28/2015
1213,-1213,-1090,9-3522 Blush,02 SLB,12/31/2015
1215,-1215,-1067,9-6078 Faabeli,01 SRB,1/21/2016
1218,-1218,-0963,3-9651 Fair,01 SRB,2/7/2016
1219,-1219,-1152,9-3444 Reynold,02 SLB,2/9/2016
1223,-1223,-1066,3-5064 Mowitz,02 SLB,2/21/2016
1224,-1224,-795,UnknownBull,01 SRB,2/25/2016
1225,-1225,-1125,22-7171 Feton,01 SRB,4/2/2016
1229,-1229,-1088,3-5056 Oracle,02 SLB,5/18/2016
1231,-1231,-1166,9-3616 Future,02 SLB,6/1/2016
1232,-1232,-1059,3-9727 Lazer,01 SRB,6/3/2016
1234,-1234,-1155,3-9727 Lazer,01 SRB,6/12/2016
1235,-1235,-1111,9-6098 Felipe,01 SRB,6/14/2016
1236,-1236,-1161,9-6054 Rankin,01 SRB,6/15/2016
1237,-1237,-1170,22-6807 Vimpula,01 SRB,6/26/2016
1238,-1238,-1162,9-3444 Reynold,02 SLB,7/11/2016
1240,-1240,-1179,9-6054 Rankin,01 SRB,7/20/2016
1241,-1241,-1189,9-3601 Saturn,02 SLB,7/23/2016
1244,-1244,-1188,22-7171 Feton,01 SRB,8/17/2016
1249,-1249,-0603,9-6098 Felipe,01 SRB,9/28/2016
1250,-1250,-1142,9-6054 Rankin,01 SRB,9/30/2016
1251,-1251,-1022,9-6098 Felipe,01 SRB,10/6/2016
1252,-1252,-1138,3-9718 Fender,02 SLB,10/10/2016
1253,-1253,-1173,3-9801 Ulti,01 SRB,10/21/2016
1254,-1254,-1140,9-6054 Rankin,01 SRB,11/7/2016
1257,-1257,-1090,9-3618 Grace,02 SLB,12/23/2016
1258,-1258,-804,9-3678 Pontos,02 SLB,1/12/2017
1261,-1261,-1147,9-3639 Cosmo,02 SLB,2/1/2017
1263,-1263,-1185,3-9790 Hjustica,01 SRB,2/9/2017
1264,-1264,-1076,22-7332 Borat,01 SRB,2/10/2017
1265,-1265,-1154,9-3738 Radium,02 SLB,2/22/2017
1266,-1266,-1187,22-7640 Fonseca,01 SRB,3/9/2017
1267,-1267,-1179,9-3735 Bosman,02 SLB,3/10/2017
1273,-1273,-1158,9-3719 Solaris,02 SLB,4/8/2017
1274,-1274,-1178,9-3618 Grace,02 SLB,4/15/2017
1275,-1275,-1153,22-7688 Firenze,01 SRB,4/23/2017
1276,-1276,-1059,9-3741 Skipper,01 SRB,4/25/2017
1280,-1280,-1165,9-6125 Borkov,01 SRB,5/14/2017
