Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-01 00:10;1309;VMS 1;VMS 1;Mjölkning;04:39;6,74;1;191;;;;0;;0,54;0,84;1,02;1,14;0;0;0;0;3,48;3,72;3,80;3,86;;Mjölktank;;0,84;1,32;1,38;1,56;1,18;1,26;2,04;2,26
2020-11-01 00:12;1218;VMS 1;VMS2;Mjölkning;08:32;7,30;1;;;;;0;;0,42;0,48;0,42;0,54;538;696;422;600;4,06;4,09;4,17;4,10;;Divert 3;;0,66;0,78;0,66;0,84;1,74;1,72;2,00;1,84
2020-11-01 00:21;1215;VMS 1;VMS 1;Mjölkning;06:42;11,17;1;34;;;;0;;0,84;;0,90;0,84;0;;0;0;4,83;;4,74;4,80;;Mjölktank;;1,20;;1,32;1,20;3,26;;4,27;3,64
2020-11-01 00:28;1235;VMS 1;VMS2;Mjölkning;05:57;13,65;1;;;;;0;;0,84;0,90;1,26;1,38;0;0;0;0;4,53;4,56;4,77;4,90;;Mjölktank;;1,32;1,38;1,74;1,92;1,96;2,24;4,75;4,70
2020-11-01 00:28;1193;VMS 1;VMS 1;Mjölkning;08:34;9,93;1;37;;;;0;;0,54;0,42;0,60;0,60;0;0;0;0;4,42;4,26;4,47;4,40;;Mjölktank;;0,78;0,72;0,84;0,96;1,46;1,66;3,51;3,30
2020-11-01 00:35;1285;VMS 1;VMS2;Mjölkning;10:14;17,25;1;;;;;0;;1,26;1,14;1,44;1,44;0;0;0;0;4,59;4,70;4,64;4,70;;Mjölktank;;1,62;1,50;2,10;1,86;3,78;3,81;4,86;4,80
2020-11-01 00:37;1238;VMS 1;VMS 1;Mjölkning;04:55;10,80;1;22;;;;0;;1,38;1,32;;1,38;0;0;;0;4,49;4,53;;4,87;;Mjölktank;;1,86;1,92;;2,04;3,69;3,56;;3,55
2020-11-01 00:43;1266;VMS 1;VMS 1;Mjölkning;08:59;10,00;1;45;VB;;;0;;1,14;1,38;0,90;1,14;0;0;0;0;5,10;4,60;4,80;5,19;;Mjölktank;;1,56;1,92;1,62;1,86;1,92;2,83;2,35;2,90
2020-11-01 00:46;1274;VMS 1;VMS2;Mjölkning;05:00;9,26;1;;;;;0;;1,08;0,84;1,20;0,90;0;0;0;0;4,26;4,63;4,50;4,30;;Divert 1;;1,44;1,56;1,68;1,38;2,12;1,56;2,99;2,59
2020-11-01 00:52;5189;VMS 1;VMS2;Mjölkning;04:40;9,68;1;;;;;0;;1,44;1,14;0,84;0,78;0;0;0;0;3,93;4,02;3,76;3,70;;Mjölktank;;1,74;1,74;1,20;1,14;2,42;2,74;2,28;2,24
2020-11-01 00:52;1339;VMS 1;VMS 1;Mjölkning;04:29;11,00;1;37;;;;0;;1,26;1,26;1,02;1,08;0;0;0;0;4,63;4,61;4,54;4,58;;Mjölktank;;1,86;1,62;1,38;1,50;2,92;2,68;2,61;2,79
2020-11-01 00:58;1210;VMS 1;VMS2;Mjölkning;07:04;9,47;1;;;;;0;;0,72;0,66;0,66;0,60;0;0;0;0;4,46;4,49;4,50;4,37;;Mjölktank;;1,08;1,02;1,08;0,84;1,83;2,40;2,72;2,52
2020-11-01 01:07;1244;VMS 1;VMS 1;Mjölkning;06:28;12,43;1;17;;;;0;;0,84;0,84;0,96;0,84;0;0;0;0;4,49;4,61;4,61;4,65;;Mjölktank;;1,20;1,26;1,38;1,20;2,29;2,53;4,03;3,58
2020-11-01 01:13;1187;VMS 1;VMS2;Mjölkning;05:10;7,79;1;;;;;0;;0,36;0,78;1,14;1,02;0;0;0;0;4,46;4,42;4,57;4,57;;Mjölktank;;0,72;1,50;1,56;1,68;0,80;1,65;2,98;2,36
2020-11-01 01:16;1312;VMS 1;VMS 1;Mjölkning;10:05;9,73;1;60;;;;0;;0,66;0,54;0,84;0,84;0;0;0;0;4,34;4,52;4,56;4,61;;Mjölktank;;0,96;0,84;1,20;1,14;1,99;1,31;3,57;2,86
2020-11-01 01:27;1223;VMS 1;VMS 1;Mjölkning;08:12;15,51;1;48;;;;0;;0,84;0,90;0,84;0,84;0;0;0;0;4,56;4,87;4,61;4,72;;Mjölktank;;1,14;1,38;1,14;1,20;3,95;4,19;3,36;4,01
2020-11-01 01:28;5194;VMS 1;VMS2;Mjölkning;09:34;14,78;1;;HB;;;1;;0,48;1,08;0,54;0,90;0;0;0;0;6,21;5,90;6,31;6,24;;Mjölktank;;0,72;1,44;0,78;1,50;2,47;2,93;2,25;7,13
2020-11-01 01:37;1308;VMS 1;VMS 1;Mjölkning;04:47;10,23;1;51;;;;0;;1,32;1,26;1,32;1,08;0;0;0;0;4,56;4,74;4,75;4,65;;Mjölktank;;1,74;1,68;1,68;1,56;2,60;2,35;2,46;2,82
2020-11-01 01:38;1184;VMS 1;VMS2;Mjölkning;10:08;11,31;1;;;;;1;VF;0,36;1,38;1,14;1,14;0;0;0;0;5,94;4,63;5,37;4,77;;Divert 1;;0,60;1,98;1,68;1,62;0,97;4,18;2,37;3,79
2020-11-01 01:43;1273;VMS 1;VMS 1;Mjölkning;05:38;13,35;1;2980;;;;1;;1,62;1,32;0,36;1,62;0;0;0;0;5,10;4,87;5,15;4,65;;Mjölktank;;2,10;1,86;0,66;2,28;3,96;3,39;0,67;5,33
2020-11-01 01:51;1225;VMS 1;VMS2;Mjölkning;04:41;8,27;1;;;;;0;;0,90;0,90;1,02;1,08;336;393;0;401;4,99;4,50;4,63;4,64;;Mjölktank;;1,26;1,26;1,38;1,56;1,20;1,91;2,84;2,32
2020-11-01 01:54;1178;VMS 1;VMS 1;Mjölkning;04:46;10,59;1;205;;;;0;;1,14;1,02;1,14;1,02;0;0;0;0;4,50;4,60;4,34;4,65;;Mjölktank;;1,56;1,44;1,56;1,44;2,47;2,18;2,87;3,07
2020-11-01 01:56;1297;VMS 1;VMS2;Mjölkning;04:54;9,76;1;;;;;0;;0,72;0,84;1,02;0,96;0;0;0;0;4,31;4,51;4,36;4,37;;Mjölktank;;1,14;1,32;1,56;1,26;1,86;2,18;2,79;2,93
2020-11-01 01:59;1344;VMS 1;VMS 1;Mjölkning;04:48;8,38;1;82;;;;0;;0,96;1,02;0,90;0,84;0;0;0;0;4,16;4,13;4,07;4,05;;Mjölktank;;1,32;1,50;1,20;1,20;1,96;1,87;2,24;2,31
2020-11-01 02:05;1173;VMS 1;VMS2;Mjölkning;02:14;1,68;1;;Alla;Alla;VF;1;;0,42;0,78;0,66;0,78;0;0;0;0;4,42;5,37;5,37;5,25;;Mjölktank;;0,90;1,74;1,56;1,62;0,18;0,48;0,39;0,63
2020-11-01 02:14;1287;VMS 1;VMS 1;Mjölkning;07:44;8,73;1;162;;;;0;;0,30;0,84;1,14;1,26;0;0;0;0;4,49;4,73;4,74;4,79;;Mjölktank;;0,72;1,14;1,44;2,04;0,34;2,54;3,19;2,66
2020-11-01 02:22;1320;VMS 1;VMS2;Mjölkning;04:47;8,09;1;;;;;0;;1,26;1,14;1,20;;0;0;0;;4,12;4,16;4,43;;;Mjölktank;;1,68;1,50;1,62;;2,43;3,07;2,59;
2020-11-01 02:26;1163;VMS 1;VMS 1;Mjölkning;08:09;12,30;1;591;;;;1;;0,54;0,78;0,66;0,60;0;0;0;0;4,77;4,60;4,54;5,05;;Mjölktank;;0,84;1,08;1,02;1,20;2,87;3,37;3,44;2,62
2020-11-01 02:30;1342;VMS 1;VMS2;Mjölkning;05:16;7,58;1;;;;;0;;0,60;0,84;0,84;0,84;0;0;0;0;3,99;4,17;4,09;4,03;;Mjölktank;;0,90;1,26;1,14;1,14;1,59;1,58;2,14;2,27
2020-11-01 02:35;1201;VMS 1;VMS 1;Mjölkning;05:39;9,93;1;620;;;;0;;0,60;0,78;0,72;0,84;0;0;0;0;4,36;4,47;4,48;4,31;;Mjölktank;;0,96;1,20;1,08;1,20;1,83;2,45;2,56;3,09
2020-11-01 02:41;1264;VMS 1;VMS2;Mjölkning;06:26;9,11;1;;;;;0;;0,54;0,54;0,90;1,08;0;0;0;0;4,26;4,30;4,36;4,24;;Mjölktank;;0,90;0,90;1,50;1,80;1,52;1,96;2,63;3,00
2020-11-01 02:45;1319;VMS 1;VMS 1;Mjölkning;05:16;7,50;1;300;;;;0;;0,96;1,02;1,08;1,20;341;0;0;0;4,23;4,33;4,14;4,45;;Mjölktank;;1,50;1,38;1,44;1,62;1,89;1,88;2,12;1,61
2020-11-01 02:49;1296;VMS 1;VMS2;Mjölkning;08:12;7,91;1;;;;;1;VF;0,72;0,72;0,48;;0;0;0;;4,53;3,96;3,89;;;Mjölktank;;1,02;1,08;0,78;;2,21;3,03;2,67;
