Official Reg. No. (ORN),Average Activity Last 24h,Relative Activity %,High Activity Start Hour,High Activity Level,General High Act. Probability (%),High Activity Time (Last 48h),Hours Since Sending Activity,Hours Since High Activity,Is High Activity Today,Is High Activity Yesterday,Low Activity,General Low Act. Probability (%)
-1039,14,70,,,28,,2,,Unchecked,Unchecked,Unchecked,71
-1138,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1139,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1162,71,121,,,70,,1,,Unchecked,Unchecked,Unchecked,29
-1163,65,111,,,61,,2,,Unchecked,Unchecked,Unchecked,38
-1167,20,78,,,38,,2,,Unchecked,Unchecked,Unchecked,61
-1170,82,102,,,54,,2,,Unchecked,Unchecked,Unchecked,45
-1173,,,,,,,,,Unchecked,Unchecked,Unchecked,
-0602,23,92,,,43,,2,,Unchecked,Unchecked,Unchecked,56
-1178,25,95,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1180,26,107,,,63,,1,,Unchecked,Unchecked,Unchecked,36
-1184,28,91,,,43,,2,,Unchecked,Unchecked,Unchecked,56
-1187,49,90,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1189,19,100,,,50,,1,,Unchecked,Unchecked,Unchecked,50
-1194,35,96,,,46,,2,,Unchecked,Unchecked,Unchecked,53
-1193,14,94,,,42,,2,,Unchecked,Unchecked,Unchecked,57
-1195,33,113,,,70,,2,,Unchecked,Unchecked,Unchecked,29
-1197,15,92,,,42,,2,,Unchecked,Unchecked,Unchecked,57
-1198,28,110,,,61,,1,,Unchecked,Unchecked,Unchecked,38
-1199,,,,,,,186,,Unchecked,Unchecked,Unchecked,
-1200,69,110,,,63,,2,,Unchecked,Unchecked,Unchecked,36
-1201,22,86,,,34,,2,,Unchecked,Unchecked,Unchecked,65
-1203,25,79,,,32,,2,,Unchecked,Unchecked,Unchecked,67
-1208,43,103,,,55,,3,,Unchecked,Unchecked,Unchecked,44
-1209,12,115,,,67,,1,,Unchecked,Unchecked,Unchecked,33
-1210,15,99,,,50,,1,,Unchecked,Unchecked,Unchecked,50
-1211,51,102,,,53,,2,,Unchecked,Unchecked,Unchecked,46
-1212,22,98,,,49,,2,,Unchecked,Unchecked,Unchecked,50
