Official Reg. No. (ORN),Reproduction Status,Cull Reason 1,Cull Reason 2,Cull Decision Reason 1,Cull Decision Reason 2,Cull Date
Dödfödd - {060cb25f-f07f-447f-95d8-15153cadc614},,,,,,
Dödfödd - {084b4155-f143-4966-8b30-b664a5658197},Culled,,,,,
Dödfödd - {0a8f04e8-858e-45cc-9bf1-6ae54cabb584},,,,,,
Dödfödd - {10fbad45-2c3b-401d-87b0-d9cc1530310c},,,,,,
Dödfödd - {114ce8e4-53ba-4721-95bf-e05e67178766},,,,,,
Dödfödd - {137b4ebd-f925-4dc8-8a2a-74b1abc7fbe0},,,,,,
Dödfödd - {30ebe1e0-282c-44c4-b809-426f76f7abc5},Culled,,,,,
Dödfödd - {31ba493d-6e99-4d35-8aea-98dad8e76e0f},,,,,,
Dödfödd - {3385dfe2-6dfd-492a-a2d1-ee683e2cdc51},,,,,,
Dödfödd - {3655b785-1e6c-41ba-a46a-08d6987997d5},,,,,,
Dödfödd - {380b6704-e3f0-4668-af52-7c122cbaa2f3},,,,,,
Dödfödd - {39516dd0-93ff-4f03-948b-498ecc73e117},,,,,,
Dödfödd - {3b344191-ee51-4008-a103-d4b2876d8efc},Culled,,,,,
Dödfödd - {3f96409d-0d71-4311-b985-1344ff2dd4d1},,,,,,
Dödfödd - {47521990-83c4-40e1-b025-37b00a1e4ee3},,,,,,
Dödfödd - {4ddb7890-15a7-474e-b99d-feb9be59e31e},Culled,,,,,
Dödfödd - {4e2e0080-e374-4abf-88e0-ba0b19fca80d},,,,,,
Dödfödd - {4e95e79c-b654-4e29-874c-5c607b779597},,,,,,
Dödfödd - {554ac0c9-a213-44ca-9cda-a44a1c54d081},,,,,,
Dödfödd - {5b85d04a-845a-44a4-8f88-1593f7d32a16},,,,,,
Dödfödd - {5d45615c-3fd1-42df-987c-3c8cca6e725a},,,,,,
Dödfödd - {5e1c30ec-459c-4689-8b77-80c0ec55a2b8},,,,,,
Dödfödd - {5ec83d5e-1e7a-425f-ba06-047b370413b2},Culled,,,,,
Dödfödd - {619b76b7-dd6f-49f9-932e-c0532e0bbfcf},,,,,,
Dödfödd - {680157f5-8ffc-44f4-af14-179804e83622},Culled,,,,,
Dödfödd - {6994e3cc-e4e0-424a-9b14-90142a623148},,,,,,
Dödfödd - {778b5d4a-ecf4-491c-bb8e-3eb08968729c},Culled,,,,,
Dödfödd - {791c2deb-3936-47a8-bc93-a019ba24928e},Culled,,,,,
Dödfödd - {7ebfd1f5-3d68-46a3-b9d1-efe87c230219},,,,,,
Dödfödd - {891da273-e46d-4f85-ac54-a0a7432b055d},Culled,,,,,
Dödfödd - {8945d443-956f-4204-9dec-79c7dae587c6},Culled,,,,,
Dödfödd - {8eabd3e4-2c12-46c5-a256-49b880569d9e},,,,,,
Dödfödd - {8f261b47-ed18-4107-bd31-d65dfb7c05cb},Culled,,,,,
Dödfödd - {9b62f7a2-88f2-4280-b61b-52727c816e2c},,,,,,
Dödfödd - {b0ec74d1-846e-4f23-b6d5-8ff7ff198b2e},,,,,,
Dödfödd - {bb837a46-039d-401f-aca2-980e05220702},,,,,,
Dödfödd - {bff3e5ac-e4a9-4db3-b9bb-a7c1c308bd79},,,,,,
Dödfödd - {ce5deb9a-b99b-41c9-ad55-a78f89f5539f},,,,,,
Dödfödd - {d0655c6e-a92f-4440-816b-0eff5826766d},Culled,,,,,
Dödfödd - {d5a1078b-c661-4a81-a2f9-8d0f9804d232},Culled,,,,,
Dödfödd - {d5ce2984-4f3e-4082-849d-36a87a9c77cd},,,,,,
Dödfödd - {da8770e2-15ff-489b-b362-6fa2b49e422f},,,,,,
Dödfödd - {da98112d-d4b3-415f-a0fb-5bede145e4cc},,,,,,
Dödfödd - {dfe79ed2-e0cc-4673-9c32-66ef4400112a},,,,,,
Dödfödd - {e3a46a87-73da-4bbe-a7a0-b747cc3933cd},Culled,,,,,
Dödfödd - {e44766c3-d9aa-4f96-8a00-79a2c131e372},,,,,,
Dödfödd - {e82a7a5d-2006-417a-a543-11fdfb68e351},,,,,,
Dödfödd - {e83c59fb-f7e0-4c84-8159-0f7f7e9b2c30},,,,,,
Dödfödd - {f0fa5962-0c95-4090-a0aa-838546677792},,,,,,
Dödfödd - {f11d265f-fc50-4541-976b-7577bb474cd5},Culled,,,,,
Dödfödd - {faa4e815-4676-411d-8c38-9ea4448ca3b9},Culled,,,,,
Dödfödd - {fb0325d7-6deb-40ac-94ee-c6e7f616b6b4},,,,,,
Dödfödd - {fd5f5135-5b32-4899-8873-61f604a86306},,,,,,
-791,Culled,02 Nedsatt fruktsamhet,,,,7/11/2016
-794,Culled,02 Nedsatt fruktsamhet,04 Mastit/juverfel,,,11/24/2017
-795,Culled,02 Nedsatt fruktsamhet,,,,8/16/2017
-796,Culled,11 Kastning,,,,8/16/2017
-797,Culled,11 Kastning,,,,1/27/2020
-804,Culled,04 Mastit/juverfel,,,,3/20/2019
-1003,Culled,02 Nedsatt fruktsamhet,,,,3/20/2019
-1016,Culled,"18 Svårmjölkad, exteriör",,,,5/8/2018
-1022,Culled,04 Mastit/juverfel,,,,10/16/2019
-1024,Culled,02 Nedsatt fruktsamhet,,,,1/22/2019
-1025,Culled,08 Klövsjukdom,,,,11/24/2017
-0702,Culled,12 Hög ålder,,,,10/7/2015
-0767,Culled,14 Lynnesfel,,,,8/1/2013
-0769,Culled,03 Ej dräktig,,03 Ej dräktig,,9/2/2013
-0772,Culled,04 Mastit/juverfel,,,,2/9/2016
-0776,Culled,04 Mastit/juverfel,,,,9/9/2015
-0778,Culled,13 Låg avkastning,,,,12/12/2012
-1169,Culled,02 Nedsatt fruktsamhet,,,,1/22/2019
-1175,Culled,09 Benlidande,,,,12/11/2019
-1176,Culled,04 Mastit/juverfel,,,,11/24/2017
-1177,Culled,02 Nedsatt fruktsamhet,,,,11/24/2017
-1179,Culled,02 Nedsatt fruktsamhet,,,,9/7/2020
-1182,Culled,02 Nedsatt fruktsamhet,"18 Svårmjölkad, exteriör",,,7/15/2019
-1183,Culled,11 Kastning,,,,2/14/2018
-1188,Culled,,,,,
-1189,Pregnant,,,,,
-1194,Pregnant,,,,,
-1388,Culled,46 Hemslakt,15 Olycksfall,,,5/20/2017
-1389,Pregnant,,,,,
-1396,Bred,,,,,
-1397,Culled,02 Nedsatt fruktsamhet,"18 Svårmjölkad, exteriör",,,8/9/2018
-1398,Culled,02 Nedsatt fruktsamhet,,,,7/15/2019
-1402,Fresh,,,,,
-0820,Culled,05 Juver/spenskada,,,,12/2/2011
-0826,Culled,04 Mastit/juverfel,,,,11/14/2011
-0839,Culled,03 Ej dräktig,,,,11/14/2011
-0840,Dry,03 Ej dräktig,,,,10/22/2012
-0861,Culled,04 Mastit/juverfel,,,,11/14/2011
-0865,Culled,35 Högt celltal,,,,9/9/2015
-0868,Culled,35 Högt celltal,,35 Högt celltal,,5/14/2013
-0875,Culled,03 Ej dräktig,,,,12/10/2013
-0876,Culled,03 Ej dräktig,,,,1/24/2012
-0885,Culled,35 Högt celltal,,,,1/24/2012
-0890,Culled,12 Hög ålder,"18 Svårmjölkad, exteriör",,,8/26/2016
-0891,Culled,03 Ej dräktig,,,,10/22/2012
-0892,Culled,04 Mastit/juverfel,,,,11/14/2011
-0893,Culled,35 Högt celltal,,,,5/14/2013
-0900,Culled,"18 Svårmjölkad, exteriör",12 Hög ålder,,,5/6/2014
-0901,Culled,04 Mastit/juverfel,,,,7/30/2014
-0909,Culled,05 Juver/spenskada,,,,12/2/2011
-0910,Culled,03 Ej dräktig,,,,12/2/2011
-0911,Culled,35 Högt celltal,,,,1/21/2013
-0912,Culled,03 Ej dräktig,,,,10/22/2012
-0914,Culled,04 Mastit/juverfel,,,,11/14/2011
-0917,Culled,04 Mastit/juverfel,,,,11/14/2011
-0922,Culled,03 Ej dräktig,,,,1/21/2013
-0926,Culled,04 Mastit/juverfel,,,,11/7/2013
-0928,Culled,35 Högt celltal,,,,11/27/2017
-0931,Culled,04 Mastit/juverfel,,,,11/14/2011
-0932,Culled,03 Ej dräktig,,,,1/24/2012
-0933,Culled,03 Ej dräktig,,,,11/28/2012
-0940,Culled,03 Ej dräktig,,,,11/28/2012
-0942,Dry,03 Ej dräktig,,,,1/21/2013
-0943,Culled,03 Ej dräktig,,03 Ej dräktig,,9/2/2013
-0945,Culled,03 Ej dräktig,04 Mastit/juverfel,,,9/25/2012
-0948,Culled,13 Låg avkastning,,,,12/10/2013
-0949,Culled,03 Ej dräktig,,03 Ej dräktig,,9/2/2013
-0952,Dry,13 Låg avkastning,,,,10/22/2012
-0956,Dry,13 Låg avkastning,,,,10/22/2012
-0957,Culled,03 Ej dräktig,,,,10/22/2012
