Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
-1402,4,5,10/30/2020,93,4.71,0.64,1.90,1.70,2.60,,,,,56,83,,93,0,0,0,0
-1211,4,7,10/28/2020,95,7.72,1.13,2.20,1.00,5.43,,,,,113,71,,83,0,0,0,0
-1218,4,7,10/28/2020,96,7.95,1.13,3.18,1.53,4.42,,,,,69,101,,83,0,0,0,0
-1354,1,13,10/22/2020,105,7.42,1.60,3.19,1.43,2.98,,,,,84,104,,104,0,0,0,0
-1357,1,15,10/20/2020,105,8.58,2.35,3.21,1.43,3.15,,,,,124,93,,98,0,0,0,0
-1241,3,16,10/19/2020,95,9.27,2.36,3.81,1.43,3.18,,,,,116,78,,98,0,0,0,0
-1178,4,17,10/18/2020,97,12.07,2.15,5.54,0.86,5.17,,,,,114,83,,90,0,0,0,0
-1215,4,17,10/18/2020,98,12.03,2.69,4.90,1.00,4.92,,,,,106,98,,85,0,0,0,0
-1351,1,25,10/10/2020,82,8.85,1.03,5.03,0.86,3.25,,,,,113,58,,96,0,0,0,0
-1212,4,26,10/9/2020,101,9.91,2.52,5.20,2.00,2.95,,,,,111,96,,73,0,0,0,0
-1352,1,27,10/8/2020,107,8.46,1.03,2.86,0.86,4.90,,,,,118,119,,91,0,0,0,0
-1305,2,42,9/23/2020,89,9.78,0.00,5.87,0.00,4.40,,,,,0,87,0,82,0,0,0,0
-1348,1,42,9/23/2020,103,9.18,0.00,5.17,0.00,4.21,,,,,0,99,0,96,0,0,0,0
-0602,7,43,9/22/2020,104,13.64,2.57,6.70,2.11,4.84,,,,,113,101,,95,0,0,0,0
-1302,2,44,9/21/2020,94,10.02,0.00,5.51,0.00,4.96,,,,,0,95,0,85,0,0,0,0
-1281,2,47,9/18/2020,76,7.11,0.00,4.30,0.92,3.05,,,,,0,74,,72,0,0,0,0
-1340,1,51,9/14/2020,95,11.57,1.29,5.53,0.00,5.53,,,,,98,95,0,81,0,0,0,0
-1347,1,51,9/14/2020,96,9.46,0.51,5.03,0.00,4.54,,,,,90,91,0,88,0,0,0,0
-1344,1,55,9/10/2020,102,16.00,3.38,7.00,0.00,6.17,,,,,120,94,0,92,0,0,0,0
