Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-08 00:03;42;VMS 1;VMS 1;Mjölkning;05:46;6,88;1;40;;;;0;;0,66;0,42;0,54;0,60;443;0;374;0;4,19;4,12;4,38;4,33;;Mjölktank;;1,20;0,78;0,96;1,02;2,09;1,16;1,76;1,87
2020-11-08 00:05;77;VMS 1;VMS2;Mjölkning;14:39;0,86;1;;;Alla;HF,VB,HB;0;;0,96;0,00;0,00;0,00;0;0;0;0;4,82;0,00;0,00;0,00;;Mjölktank;;1,86;0,00;0,00;0,00;0,86;0,00;0,00;0,00
2020-11-08 00:09;80;VMS 1;VMS 1;Mjölkning;06:32;10,90;1;20;;;;0;;0,54;0,84;1,08;1,26;0;0;0;0;3,92;4,05;4,11;4,06;;Mjölktank;;1,02;1,14;1,50;1,80;2,01;2,07;3,20;3,62
2020-11-08 00:17;19;VMS 1;VMS 1;Mjölkning;06:54;10,16;1;88;;;;0;;0,66;0,78;0,78;0,72;0;0;0;0;4,66;4,99;4,78;4,60;;Mjölktank;;0,96;1,32;1,14;1,20;1,84;2,14;2,79;3,39
2020-11-08 00:20;24;VMS 1;VMS2;Mjölkning;07:44;16,41;1;174;;;;0;;0,66;0,96;0,84;0,90;0;0;0;0;4,61;4,64;4,46;4,51;;Mjölktank;;1,02;1,50;1,56;1,26;3,51;3,98;4,65;4,27
2020-11-08 00:28;36;VMS 1;VMS 1;Mjölkning;08:47;10,43;1;85;;;;0;;0,84;1,38;1,26;0,48;0;0;0;0;4,66;4,72;4,78;5,14;;Mjölktank;;1,20;1,86;1,74;1,14;2,29;4,53;2,43;1,18
2020-11-08 00:29;96;VMS 1;VMS2;Mjölkning;16:24;1,03;1;;;HF,VB,HB;HF,VB,HB;0;;0,42;0,00;0,00;0,00;0;0;0;0;3,94;0,00;0,00;0,00;;Mjölktank;;1,02;0,00;0,00;0,00;1,03;0,00;0,00;0,00
2020-11-08 00:38;20;VMS 1;VMS 1;Mjölkning;05:45;10,34;1;380;;;;1;;;1,08;0,96;0,96;;0;0;0;;4,72;5,38;4,66;;Mjölktank;;;1,56;1,32;1,38;;3,21;3,25;3,88
2020-11-08 00:44;93;VMS 1;VMS 1;Mjölkning;04:45;8,73;1;354;;;;0;;0,72;0,84;1,02;0,90;0;0;0;0;4,47;4,66;4,50;4,47;;Mjölktank;;1,08;1,14;1,32;1,32;1,82;1,90;2,63;2,38
2020-11-08 00:49;65;VMS 1;VMS2;Mjölkning;05:46;20,91;1;168;;;;0;;1,26;1,20;1,56;1,56;0;0;0;0;4,49;4,43;4,33;4,44;;Mjölktank;;1,56;1,62;1,98;1,98;4,57;4,21;6,01;6,12
2020-11-08 00:50;26;VMS 1;VMS 1;Mjölkning;05:11;10,33;1;65;;;;0;;1,56;1,26;1,56;;0;0;0;;4,94;4,99;4,84;;;Mjölktank;;2,04;1,74;2,16;;3,83;2,53;3,97;
2020-11-08 00:56;78;VMS 1;VMS2;Mjölkning;05:12;11,95;1;25;;;;0;;1,14;1,20;1,02;1,08;0;0;0;0;4,28;4,23;4,33;4,24;;Mjölktank;;1,44;1,56;1,38;1,50;2,94;3,40;3,09;2,52
2020-11-08 00:57;26;VMS 1;VMS 1;Avvisad;02:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-08 00:59;77;VMS 1;VMS 1;Mjölkning;07:58;5,35;2;174;VF;HB;HB;0;;0,60;0,60;0,66;0,00;0;0;0;0;5,00;5,12;4,90;0,00;;Mjölktank;;1,02;1,14;1,32;0,00;1,52;1,78;2,05;0,00
2020-11-08 01:08;92;VMS 1;VMS 1;Mjölkning;05:17;12,68;1;;;;;0;;0,84;0,96;1,26;1,14;0;0;0;0;5,07;5,12;5,04;5,01;;Mjölktank;;1,20;1,26;1,68;1,50;2,49;2,57;3,81;3,81
2020-11-08 01:13;2;VMS 1;VMS2;Mjölkning;09:16;21,51;1;31;;;;0;;0,84;0,78;1,02;0,96;0;0;0;0;4,89;4,70;4,80;4,71;;Mjölktank;;1,20;1,08;1,44;1,44;4,26;4,88;6,91;5,46
2020-11-08 01:15;79;VMS 1;VMS 1;Mjölkning;04:20;10,42;1;28;;;;0;;1,38;1,20;1,26;1,14;0;0;0;0;4,87;4,92;4,91;4,94;;Mjölktank;;1,74;1,56;1,74;1,56;2,65;2,41;2,58;2,78
2020-11-08 01:21;64;VMS 1;VMS 1;Mjölkning;04:49;7,71;1;25;;;;0;;1,08;1,02;;1,02;0;0;;0;4,80;4,92;;4,88;;Mjölktank;;1,56;1,38;;1,62;2,34;2,72;;2,65
2020-11-08 01:26;14;VMS 1;VMS2;Mjölkning;05:05;11,15;1;134;;;;0;;1,02;;1,26;1,32;0;;0;0;4,42;;4,59;4,64;;Mjölktank;;1,32;;1,68;1,86;3,13;;3,88;4,14
2020-11-08 01:34;13;VMS 1;VMS2;Mjölkning;08:28;9,89;1;68;;;;0;;0,48;0,48;0,60;0,66;0;0;0;0;4,22;4,17;4,19;4,17;;Mjölktank;;0,84;0,78;0,90;1,08;1,56;1,69;3,39;3,25
2020-11-08 01:38;30;VMS 1;VMS 1;Mjölkning;07:16;11,76;1;31;;;;0;;0,84;0,96;0,84;0,90;0;0;0;0;4,67;4,91;4,77;4,94;;Mjölktank;;1,14;1,32;1,20;1,38;3,04;3,15;2,52;3,05
2020-11-08 01:42;48;VMS 1;VMS2;Mjölkning;10:06;7,00;1;48;;;VB;0;;1,08;1,08;0,00;0,54;551;732;0;524;4,42;4,50;0,00;4,24;;Mjölktank;;1,56;1,44;0,00;1,02;2,65;2,46;0,00;1,89
2020-11-08 01:46;59;VMS 1;VMS 1;Mjölkning;05:46;14,70;1;62;;;;0;;1,26;1,02;1,56;1,14;0;0;0;0;4,53;4,71;4,37;4,47;;Mjölktank;;1,68;1,50;2,10;1,92;3,15;2,59;4,90;4,06
2020-11-08 01:57;87;VMS 1;VMS2;Mjölkning;11:57;5,33;1;42;HB;HF;;0;;1,74;0,54;1,32;1,50;0;0;0;319;4,28;2,08;4,19;4,04;;Mjölktank;;2,58;1,32;1,86;1,98;1,73;0,38;1,33;1,89
2020-11-08 02:01;100;VMS 1;VMS 1;Mjölkning;04:47;5,76;1;45;;;;0;;;0,78;0,84;0,66;;0;0;0;;4,44;4,51;4,61;;Mjölktank;;;1,14;1,26;1,02;;1,57;2,38;1,81
2020-11-08 02:08;0;VMS 1;VMS 1;Mjölkning;09:01;11,65;1;171;;;;0;;0,72;0,66;0,90;0,42;0;0;0;0;4,73;4,85;4,91;4,87;;Mjölktank;;1,02;1,02;1,26;0,72;3,32;2,90;3,99;1,44
2020-11-08 02:11;44;VMS 1;VMS2;Mjölkning;04:54;9,22;1;208;;;;0;;0,90;0,90;1,26;1,14;0;0;0;0;3,88;3,49;4,06;4,11;;Mjölktank;;1,32;1,32;1,62;1,62;2,19;2,13;2,38;2,52
2020-11-08 02:17;75;VMS 1;VMS2;Mjölkning;04:46;9,89;1;302;;;;0;;0,66;0,78;1,08;1,14;0;0;0;0;4,28;4,23;4,26;4,45;;Mjölktank;;0,96;1,14;1,50;1,50;1,66;1,88;3,06;3,29
2020-11-08 02:18;31;VMS 1;VMS 1;Mjölkning;05:05;14,33;1;425;;;;1;VF;1,14;1,14;2,10;1,80;0;0;0;0;8,17;4,51;4,44;4,60;;Divert 2;;1,50;1,56;2,88;2,58;2,25;2,39;5,37;4,32
2020-11-08 02:24;177;VMS 1;VMS 1;Mjölkning;05:22;11,54;1;317;;;;0;;1,44;1,20;0,84;0,84;343;0;0;0;4,06;4,24;3,91;3,87;;Mjölktank;;1,86;1,62;1,26;1,20;3,01;3,16;2,70;2,67
2020-11-08 02:24;47;VMS 1;VMS2;Mjölkning;06:52;12,24;1;68;;;;0;;0,78;;0,96;1,08;0;;0;0;4,28;;4,06;4,18;;Mjölktank;;1,14;;1,56;1,56;2,99;;4,66;4,59
2020-11-08 02:30;43;VMS 1;VMS 1;Mjölkning;05:25;10,39;1;174;;;;0;;0,84;0,84;1,02;0,84;0;0;0;0;4,40;4,51;4,51;4,74;;Mjölktank;;1,32;1,32;1,44;1,20;1,85;2,13;3,45;2,96
2020-11-08 02:32;35;VMS 1;VMS2;Mjölkning;09:02;21,22;1;182;;;;1;;1,26;0,84;1,08;1,02;0;0;0;0;5,15;5,37;5,06;4,65;;Mjölktank;;1,68;1,50;1,38;1,44;4,89;3,76;5,67;6,90
2020-11-08 02:36;58;VMS 1;VMS 1;Mjölkning;06:25;8,14;1;445;VF;VF,HB;;0;;1,38;1,38;1,62;0,72;0;0;0;0;5,03;4,91;4,80;4,98;;Divert 1;;2,22;1,80;2,22;1,08;0,60;2,58;4,29;0,67
2020-11-08 02:42;87;VMS 1;VMS2;Mjölkning;11:53;2,06;2;;HF;;VF,HF;0;;0,36;0,30;1,26;0,24;0;0;0;0;2,88;2,21;4,13;2,41;;Mjölktank;;0,96;0,84;1,92;0,90;0,19;0,14;1,43;0,30
2020-11-08 02:49;58;VMS 1;VMS 1;Mjölkning;09:31;2,08;2;;;HB;VB;0;;1,26;0,60;0,00;0,30;0;0;0;0;5,47;4,15;0,00;3,26;;Divert 1;;2,04;1,02;0,00;0,60;1,47;0,30;0,00;0,31
2020-11-08 02:55;11;VMS 1;VMS2;Mjölkning;07:19;10,11;1;;;;;1;VF,VB;0,48;1,32;0,90;1,02;0;0;0;0;6,09;4,69;5,34;4,52;;Divert 1;;0,96;1,80;1,26;1,68;1,13;3,74;1,57;3,67
2020-11-08 02:59;89;VMS 1;VMS 1;Mjölkning;07:43;11,16;1;;VB;;;0;;1,02;0,90;0,90;0,96;0;0;0;0;4,79;4,77;4,69;4,71;;Mjölktank;;1,56;1,26;1,68;1,38;2,46;2,59;3,03;3,08
2020-11-08 03:03;69;VMS 1;VMS2;Mjölkning;04:42;9,73;1;;;;;0;;1,08;1,08;1,08;1,08;0;0;0;0;4,13;4,17;4,06;4,26;;Mjölktank;;1,44;1,44;1,44;1,44;2,71;1,94;2,36;2,72
2020-11-08 03:08;94;VMS 1;VMS 1;Mjölkning;04:28;8,05;1;;;;;0;;1,08;1,02;1,08;0,96;0;0;0;0;4,79;4,84;4,91;4,62;;Mjölktank;;1,32;1,44;1,44;1,44;2,07;1,91;1,94;2,13
2020-11-08 03:08;1;VMS 1;VMS2;Mjölkning;07:06;12,78;1;637;;;;0;;1,20;0,90;1,14;0,60;0;0;0;0;5,41;5,17;5,07;4,93;;Mjölktank;;1,62;1,38;1,68;1,14;4,41;3,55;3,23;1,59
2020-11-08 03:19;3;VMS 1;VMS 1;Mjölkning;12:06;16,14;1;925;;VB;VB;0;;;1,26;0,00;0,96;;0;0;0;;4,77;0,00;4,22;;Divert 2;;;1,98;0,00;1,62;;7,62;0,00;8,52
2020-11-08 03:31;34;VMS 1;VMS2;Mjölkning;06:30;15,57;1;88;;;;0;;1,50;1,38;1,50;1,32;0;0;0;0;4,66;4,63;4,67;4,73;;Mjölktank;;2,22;1,92;1,92;1,80;3,61;4,22;3,87;3,87
2020-11-08 03:39;27;VMS 1;VMS2;Mjölkning;08:06;10,86;1;128;;;;0;;0,78;;0,84;0,78;0;;0;0;4,53;;4,46;4,47;;Mjölktank;;1,14;;1,26;1,26;3,15;;4,09;3,62
2020-11-08 03:41;56;VMS 1;VMS 1;Mjölkning;05:37;12,15;1;157;;;;1;;1,20;1,20;0,96;1,14;0;0;0;0;4,86;4,83;4,91;5,43;;Mjölktank;;1,56;1,56;1,32;1,56;2,76;2,88;3,46;3,05
2020-11-08 03:47;9;VMS 1;VMS 1;Mjölkning;05:03;10,67;1;128;;;;0;;1,14;0,84;0,96;1,08;0;0;0;0;4,86;4,84;4,78;4,96;;Mjölktank;;1,74;1,32;1,32;1,50;2,33;2,25;2,94;3,15
2020-11-08 03:51;5;VMS 1;VMS2;Mjölkning;11:33;23,68;1;100;;;;0;;0,90;0,96;0,72;0,90;0;0;0;0;5,13;4,90;4,93;5,53;;Mjölktank;;1,20;1,32;1,20;1,32;5,15;6,57;6,69;5,27
2020-11-08 03:58;118;VMS 1;VMS 1;Mjölkning;09:21;23,74;1;68;;;;0;;1,02;0,84;1,08;1,02;0;0;0;0;5,06;5,11;5,04;5,03;;Mjölktank;;1,44;1,32;1,44;1,56;4,71;3,97;7,50;7,56
2020-11-08 04:22;54;VMS 1;VMS2;Mjölkning;06:19;12,59;1;2;;;;0;;0,96;0,84;1,08;1,44;0;0;0;0;4,66;4,57;4,72;4,33;;Mjölktank;;1,44;1,32;1,74;2,10;2,33;2,21;3,60;4,45
2020-11-08 04:30;99;VMS 1;VMS 1;Mjölkning;05:59;9,46;1;122;;;;0;;0,72;0,72;0,72;0,78;0;0;0;0;4,59;4,64;4,64;4,69;;Mjölktank;;1,14;1,08;1,08;1,14;2,39;2,37;2,33;2,37
2020-11-08 04:30;60;VMS 1;VMS2;Mjölkning;07:55;13,40;1;2;;;;0;;0,72;0,78;0,60;0,60;0;0;0;0;5,60;5,31;5,07;5,12;;Mjölktank;;1,02;1,14;1,02;0,96;3,15;3,50;3,51;3,24
2020-11-08 04:37;91;VMS 1;VMS 1;Mjölkning;04:13;8,60;1;102;;;;0;;1,20;1,26;0,96;1,02;0;0;0;0;4,52;4,57;4,51;4,49;;Mjölktank;;1,50;1,62;1,26;1,38;2,27;2,15;2,07;2,11
2020-11-08 04:39;62;VMS 1;VMS2;Mjölkning;06:21;10,73;1;20;;;;0;;;0,78;1,14;1,26;;0;0;0;;4,10;4,21;4,05;;Mjölktank;;;1,26;1,80;2,22;;2,79;3,76;4,18
2020-11-08 04:42;95;VMS 1;VMS 1;Mjölkning;05:22;8,70;1;65;;;;0;;0,84;0,78;0,84;0,84;0;0;0;0;4,26;4,23;4,24;4,22;;Mjölktank;;1,32;1,26;1,26;1,26;1,99;2,06;2,21;2,44
2020-11-08 04:46;25;VMS 1;VMS2;Mjölkning;07:19;14,34;1;77;;;;0;;1,20;;1,02;1,38;0;;0;0;4,59;;4,54;4,93;;Mjölktank;;1,74;;1,50;1,98;3,38;;5,22;5,74
