Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,6,11/4/2020,83,5.37,0.25,2.47,1.41,3.18,,,,,50.0,74,,78,0,0,0,0
128,4,11,10/30/2020,99,7.0,0.36,3.7,1.1,3.8,,,,,,91,,94,0,0,0,0
24,4,13,10/28/2020,113,13.18,0.63,4.0,0.0,8.85,,,,,102.0,108,0.0,113,0,0,0,0
28,4,13,10/28/2020,105,12.11,0.63,4.94,0.82,6.84,,,,,116.0,87,,113,0,0,0,0
100,1,19,10/22/2020,87,9.19,0.89,4.88,0.57,3.71,,,,,61.0,71,,106,0,0,0,0
103,1,21,10/20/2020,117,9.62,1.3,4.89,0.57,3.71,,,,,87.0,120,,115,0,0,0,0
42,3,22,10/19/2020,96,9.99,1.31,5.64,0.57,3.35,,,,,95.0,87,,101,0,0,0,0
9,4,23,10/18/2020,107,14.98,1.19,7.0,0.0,6.79,,,,,101.0,115,0.0,101,0,0,0,0
27,4,23,10/18/2020,103,14.74,1.5,6.7,0.0,6.84,,,,,108.0,101,0.0,98,0,0,0,0
98,1,31,10/10/2020,89,10.56,0.57,5.8,0.0,4.19,,,,,111.0,68,0.0,115,0,0,0,0
25,4,32,10/9/2020,105,14.74,1.4,7.0,2.0,7.38,,,,,90.0,112,,86,0,0,0,0
99,1,33,10/8/2020,96,9.08,0.57,1.14,0.0,7.08,,,,,92.0,117,0.0,96,0,0,0,0
77,2,48,9/23/2020,98,12.73,0.0,6.72,0.0,6.5,,,,,0.0,96,0.0,94,0,0,0,0
97,1,48,9/23/2020,77,10.28,0.0,5.17,1.0,5.11,,,,,0.0,66,,87,0,0,0,0
0,7,49,9/22/2020,97,13.93,0.71,7.0,3.0,6.22,,,,,90.0,97,,97,0,0,0,0
75,2,50,9/21/2020,100,12.27,0.0,5.51,0.0,6.76,,,,,0.0,92,0.0,106,0,0,0,0
63,2,53,9/18/2020,42,8.3,0.0,4.3,1.84,4.0,,,,,0.0,40,,43,0,0,0,0
92,1,57,9/14/2020,58,15.14,0.71,7.0,0.0,7.43,,,,,60.0,45,0.0,70,0,0,0,0
96,1,57,9/14/2020,92,11.3,0.29,5.32,0.0,5.69,,,,,100.0,88,0.0,95,0,0,0,0
95,1,61,9/10/2020,86,17.72,1.88,7.0,0.0,8.84,,,,,87.0,85,0.0,87,0,0,0,0
43,3,66,9/5/2020,98,18.17,1.88,7.0,0.0,9.29,,,,,104.0,90,0.0,103,0,0,0,0
6,5,67,9/4/2020,88,17.06,1.35,7.0,0.0,8.71,,,,,94.0,80,0.0,94,0,0,0,0
44,3,67,9/4/2020,80,16.52,1.56,7.0,0.0,8.23,,,,,98.0,55,0.0,95,0,0,0,0
47,3,70,9/1/2020,86,19.23,2.23,7.0,0.0,10.0,,,,,95.0,74,0.0,93,0,0,0,0
74,2,70,9/1/2020,85,18.87,2.19,7.0,0.0,9.68,,,,,101.0,60,0.0,100,0,0,0,0
60,2,74,8/28/2020,83,18.48,2.19,7.0,0.0,9.29,,,,,93.0,68,0.0,91,0,0,0,0
93,1,79,8/23/2020,97,16.12,1.43,6.33,0.43,8.69,,,,,105.0,83,,102,0,0,0,0
64,2,85,8/17/2020,105,11.86,1.14,4.43,1.07,6.58,,,,,110.0,89,,110,0,0,0,0
36,3,86,8/16/2020,116,19.07,3.84,7.0,0.0,8.23,,,,,102.0,123,0.0,117,0,0,0,0
69,2,95,8/7/2020,75,18.34,1.94,7.0,0.0,9.4,,,,,84.0,59,0.0,85,0,0,0,0
91,1,95,8/7/2020,84,15.68,1.71,6.19,0.0,7.78,,,,,100.0,59,0.0,100,0,0,0,0
94,1,96,8/6/2020,89,15.79,1.43,6.5,0.43,8.11,,,,,96.0,74,,96,0,0,0,0
66,2,106,7/27/2020,94,16.93,1.88,6.5,0.47,8.8,,,,,101.0,78,,101,0,0,0,0
1,8,109,7/24/2020,103,16.09,1.83,5.2,0.0,9.36,,,,,115.0,80,0.0,110,0,0,0,0
13,4,109,7/24/2020,99,14.48,1.56,6.44,0.0,6.75,,,,,115.0,86,0.0,103,0,0,0,0
15,4,113,7/20/2020,88,15.95,2.19,7.0,0.0,6.76,,,,,108.0,79,0.0,92,0,0,0,0
20,4,114,7/19/2020,108,16.54,2.41,7.0,0.0,7.13,,,,,110.0,103,0.0,112,0,0,0,0
41,3,115,7/18/2020,85,9.05,1.25,3.42,2.17,4.68,,,,,82.0,74,,89,0,0,0,0
2,6,117,7/16/2020,93,15.59,2.26,7.0,0.0,6.33,,,,,97.0,82,0.0,104,0,0,0,0
5,4,117,7/16/2020,106,16.18,1.88,8.0,0.0,6.3,,,,,89.0,111,0.0,103,0,0,0,0
65,2,119,7/14/2020,87,15.91,2.19,7.0,0.0,6.72,,,,,100.0,68,0.0,104,0,0,0,0
40,3,121,7/12/2020,80,14.37,2.19,7.0,0.0,5.18,,,,,99.0,57,0.0,102,0,0,0,0
58,2,121,7/12/2020,90,18.41,2.28,7.0,0.0,9.13,,,,,99.0,68,0.0,105,0,0,0,0
19,4,124,7/9/2020,99,16.19,2.48,7.0,0.0,6.71,,,,,112.0,93,0.0,102,0,0,0,0
14,4,125,7/8/2020,89,16.3,2.36,7.0,0.0,6.94,,,,,105.0,68,0.0,105,0,0,0,0
70,2,126,7/7/2020,95,12.27,1.88,5.5,0.5,5.14,,,,,94.0,87,,101,0,0,0,0
34,3,127,7/6/2020,99,16.68,3.31,7.0,0.0,6.93,,,,,85.0,90,0.0,106,0,0,0,0
35,3,134,6/29/2020,95,12.72,0.51,5.04,0.0,7.0,,,,,141.0,64,0.0,116,0,0,0,0
3,6,135,6/28/2020,105,10.02,1.88,3.11,2.0,4.75,,,,,101.0,123,,101,0,0,0,0
21,3,137,6/26/2020,103,14.52,1.36,7.0,0.0,6.16,,,,,109.0,100,0.0,105,0,0,0,0
7,5,139,6/24/2020,98,9.69,2.19,2.89,1.0,4.9,,,,,104.0,74,,104,0,0,0,0
123,4,149,6/14/2020,70,16.88,1.88,7.0,0.0,8.0,,,,,76.0,56,0.0,80,0,0,0,0
118,4,156,6/7/2020,91,14.75,1.43,7.0,0.0,6.32,,,,,107.0,81,0.0,99,0,0,0,0
62,2,169,5/25/2020,111,4.0,0.0,4.0,1.72,0.0,,,,,0.0,111,,0,0,0,0,0
177,6,174,5/20/2020,89,14.41,1.41,6.0,0.0,7.0,,,,,100.0,81,0.0,94,0,0,0,0
26,3,174,5/20/2020,95,9.79,1.56,3.23,2.61,5.0,,,,,95.0,86,,100,0,0,0,0
54,2,191,5/3/2020,105,14.52,1.56,7.0,0.0,5.96,,,,,102.0,108,0.0,102,0,0,0,0
61,2,191,5/3/2020,85,15.86,1.69,7.0,0.0,7.17,,,,,95.0,80,0.0,88,0,0,0,0
86,1,194,4/30/2020,85,10.17,0.86,4.42,0.66,5.19,,,,,98.0,48,,110,0,0,0,0
38,3,200,4/24/2020,96,14.24,2.75,6.69,0.1,5.87,,,,,65.0,93,,97,0,0,0,0
59,2,205,4/19/2020,75,14.18,0.97,7.0,0.0,6.21,,,,,86.0,62,0.0,88,0,0,0,0
88,1,205,4/19/2020,110,5.29,0.57,2.54,3.0,2.18,,,,,50.0,128,,105,0,0,0,0
37,3,216,4/8/2020,90,13.38,2.57,6.11,0.58,5.82,,,,,65.0,74,,100,0,0,0,0
11,4,218,4/6/2020,83,5.58,0.41,2.76,5.0,2.68,,,,,50.0,76,,86,0,0,0,0
68,1,225,3/30/2020,108,11.22,1.43,4.06,1.54,6.0,,,,,121.0,87,,115,0,0,0,0
89,1,225,3/30/2020,97,13.14,1.14,6.0,0.0,6.0,,,,,107.0,85,0.0,107,0,0,0,0
55,2,239,3/16/2020,104,13.28,0.95,7.0,0.0,5.33,,,,,81.0,109,0.0,102,0,0,0,0
30,3,245,3/10/2020,89,11.87,1.25,5.86,0.77,5.05,,,,,94.0,72,,102,0,0,0,0
84,1,246,3/9/2020,89,1.41,0.0,1.41,2.34,0.0,,,,,0.0,89,,0,0,0,0,0
56,2,251,3/4/2020,100,9.9,0.86,3.67,2.11,5.64,,,,,96.0,90,,102,0,0,0,0
178,5,258,2/26/2020,91,6.16,0.86,2.3,3.49,3.0,,,,,91.0,79,,100,0,0,0,0
82,1,265,2/19/2020,89,7.48,0.66,3.61,2.0,3.47,,,,,116.0,69,,98,0,0,0,0
83,1,269,2/15/2020,89,3.76,0.41,1.17,3.3,2.21,,,,,,102,,97,0,0,0,0
