Animal Number,Official Reg. No. (ORN),"Dam, Official Reg. Number (ORN)",Sire Bull ID/ORN,Breed,Birth Date
0,0,,,01 SRB,10/5/2012
1,1,,,02 SLB,9/23/2010
2,2,,3-8885,02 SLB,9/14/2013
3,3,,3-9497,01 SRB,9/16/2013
4,4,,3-9071 Apollo,02 SLB,7/6/2014
5,5,,9-2532,02 SLB,7/18/2014
6,6,,22-5813,01 SRB,8/1/2014
7,7,,22-6303 Borse,01 SRB,8/3/2014
8,8,,22-6282 Niki,01 SRB,9/8/2014
9,9,,9-3306,02 SLB,1/10/2015
10,10,,9-3372 Goblin,02 SLB,1/31/2015
11,11,,3-2236,01 SRB,3/4/2015
12,12,,3-9623 Bilbo,01 SRB,4/30/2015
13,13,,9-3461 Oybeck,02 SLB,7/29/2015
14,14,,3-5034 Gizmo,02 SLB,8/19/2015
15,15,,3-5020 Mace,02 SLB,9/2/2015
16,16,,3-9633 Sparta,01 SRB,9/6/2015
17,17,177.0,3-2263,02 SLB,9/6/2015
18,18,2.0,9-3456 Laredo,02 SLB,9/15/2015
19,19,,22-6807 Vimpula,01 SRB,10/3/2015
20,20,,9-6054 Rankin,01 SRB,10/19/2015
21,21,1.0,3-8982 Sprite,02 SLB,11/28/2015
22,22,1.0,3-8982 Sprite,02 SLB,11/28/2015
23,23,,3-5043 Bubba,02 SLB,12/4/2015
24,24,,9-9635 Pirate,01 SRB,12/11/2015
25,25,,9-3444 Reynold,02 SLB,12/28/2015
26,26,,9-3522 Blush,02 SLB,12/31/2015
27,27,,9-6078 Faabeli,01 SRB,1/21/2016
28,28,,3-9651 Fair,01 SRB,2/7/2016
29,29,,9-3444 Reynold,02 SLB,2/9/2016
30,30,,3-5064 Mowitz,02 SLB,2/21/2016
31,31,,UnknownBull,01 SRB,2/25/2016
32,32,,22-7171 Feton,01 SRB,4/2/2016
33,33,,3-5056 Oracle,02 SLB,5/18/2016
34,34,,9-3616 Future,02 SLB,6/1/2016
35,35,,3-9727 Lazer,01 SRB,6/3/2016
36,36,,3-9727 Lazer,01 SRB,6/12/2016
37,37,,9-6098 Felipe,01 SRB,6/14/2016
38,38,,9-6054 Rankin,01 SRB,6/15/2016
39,39,7.0,22-6807 Vimpula,01 SRB,6/26/2016
40,40,4.0,9-3444 Reynold,02 SLB,7/11/2016
41,41,,9-6054 Rankin,01 SRB,7/20/2016
42,42,177.0,9-3601 Saturn,02 SLB,7/23/2016
43,43,,22-7171 Feton,01 SRB,8/17/2016
44,44,,9-6098 Felipe,01 SRB,9/28/2016
45,45,,9-6054 Rankin,01 SRB,9/30/2016
46,46,,9-6098 Felipe,01 SRB,10/6/2016
47,47,2.0,3-9718 Fender,02 SLB,10/10/2016
